release_year,country,total_titles
2021,,208
2021,"United States",137
2021,India,31
2021,"United Kingdom",22
2021,"South Korea",19
2020,"United States",336
2020,,101
2020,India,75
2020,"United Kingdom",44
2020,"South Korea",28
2019,"United States",349
2019,,117
2019,India,87
2019,"United Kingdom",37
2019,Japan,25
2018,"United States",355
2018,,109
2018,India,94
2018,"United Kingdom",55
2018,Japan,40
2017,"United States",350
2017,India,101
2017,,66
2017,"United Kingdom",66
2017,"South Korea",31
2016,"United States",262
2016,India,73
2016,,64
2016,"United Kingdom",62
2016,"South Korea",29
2015,"United States",144
2015,India,62
2015,,44
2015,"United Kingdom",36
2015,Canada,13
2015,Turkey,13
2014,"United States",94
2014,India,51
2014,"United Kingdom",24
2014,,19
2014,Turkey,15
2013,"United States",85
2013,India,54
2013,,18
2013,"United Kingdom",15
2013,Japan,10
2012,"United States",70
2012,India,38
2012,,15
2012,"South Korea",11
2012,"United Kingdom",9
2012,Egypt,9
2011,"United States",56
2011,India,30
2011,"United Kingdom",9
2011,Japan,8
2011,Egypt,8
2010,"United States",53
2010,India,35
2010,,16
2010,Japan,7
2010,Turkey,5
2010,"United Kingdom",5
2010,Egypt,5
2009,"United States",42
2009,India,28
2009,,10
2009,Taiwan,6
2009,Japan,4
2009,Egypt,4
2009,"United States, United Kingdom",4
2008,"United States",45
2008,India,25
2008,Japan,10
2008,"United Kingdom",6
2008,Egypt,5
2007,"United States",33
2007,India,16
2007,"United States, United Kingdom",4
2007,"United States, Canada",3
2007,Japan,2
2007,Egypt,2
2007,Canada,2
2007,Thailand,2
2006,"United States",31
2006,India,20
2006,Japan,5
2006,Egypt,5
2006,"United States, Germany",3
2005,"United States",25
2005,India,20
2005,Turkey,3
2005,Japan,2
2005,Taiwan,2
2005,"United States, United Kingdom",2
2005,"United States, Germany",2
2004,"United States",17
2004,India,15
2004,Japan,3
2004,"United States, Germany",2
2004,,2
2004,"United Kingdom",2
2004,Turkey,2
2004,Egypt,2
2004,Taiwan,2
2004,Mexico,2
2003,"United States",22
2003,India,12
2003,Japan,4
2003,"United States, Australia",2
2003,,2
2002,"United States",16
2002,India,10
2002,Japan,3
2002,Taiwan,2
2002,,1
2002,"United States, Canada",1
2002,"United States, Germany, Canada",1
2002,"United Kingdom, France, Poland, Germany, United States",1
2002,"South Africa, United States",1
2002,"France, United States",1
2002,France,1
2002,"United Kingdom, United States, France, Germany",1
2002,Thailand,1
2002,"United States, Germany",1
2002,"United Kingdom",1
2002,"Brazil, France, Germany",1
2002,"United Kingdom, United States",1
2002,"United States, Italy",1
2002,"United Kingdom, Germany, Canada, United States",1
2002,"United States, Netherlands, Japan, France",1
2002,"Hong Kong",1
2002,"New Zealand, United States",1
2002,"United States, United Arab Emirates",1
2002,Indonesia,1
2001,"United States",23
2001,India,7
2001,Japan,2
2001,"United Kingdom",2
2001,"Australia, United States",1
2001,Turkey,1
2001,"India, United Kingdom",1
2001,"United States, Spain",1
2001,"United States, Germany, Canada",1
2001,"United States, United Kingdom",1
2001,"United States, United Kingdom, Italy",1
2001,"Hong Kong",1
2001,"Germany, Canada, United States",1
2001,,1
2001,Mexico,1
2000,"United States",18
2000,India,7
2000,"United States, Canada",2
2000,,1
2000,"United States, Germany",1
2000,"Germany, United States",1
2000,"United Kingdom",1
2000,Japan,1
2000,"United States, France, United Kingdom",1
2000,"United Kingdom, France",1
2000,"Taiwan, Hong Kong, United States, China",1
2000,"France, Japan, United States",1
2000,"Germany, United States, United Kingdom, Canada",1
1999,"United States",17
1999,India,6
1999,"Germany, United States",2
1999,"United Kingdom",2
1999,"United States, Mexico",1
1999,,1
1999,Turkey,1
1999,Australia,1
1999,"France, Norway, Lebanon, Belgium",1
1999,"United States, Germany, Canada",1
1999,Japan,1
1999,"France, Egypt",1
1999,Thailand,1
1999,"United States, France, Japan",1
1999,Mexico,1
1999,"United Kingdom, United States",1
1998,"United States",18
1998,India,6
1998,Japan,2
1998,Canada,2
1998,"United Kingdom",2
1997,"United States",19
1997,"Canada, United States",3
1997,"United Kingdom, United States",3
1997,India,3
1997,"United States, Germany",2
1997,"United States, France, Japan",2
1996,"United States",16
1996,,3
1996,India,3
1996,"United States, France, Japan",1
1996,"United Kingdom",1
1995,"United States",15
1995,India,5
1995,"Hong Kong",2
1995,Japan,1
1995,"United Kingdom, United States",1
1995,,1
1994,"United States",8
1994,India,5
1994,"United Kingdom",3
1994,"United States, Mexico",1
1994,"United States, France",1
1994,"Egypt, France",1
1994,,1
1994,"Hong Kong",1
1993,"United States",13
1993,India,3
1993,"Hong Kong",2
1993,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",1
1993,"United States, Italy, France, Japan",1
1993,"New Zealand, Australia, France, United States",1
1993,"Argentina, Spain",1
1993,"United States, Canada",1
1993,"United Kingdom",1
1993,"France, United Kingdom, India",1
1993,"United States, France, Mexico",1
1993,,1
1993,"United Kingdom, United States",1
1992,"United States",8
1992,"Hong Kong",3
1992,"United Kingdom",2
1992,"United Kingdom, Japan, United States",2
1992,,1
1992,"France, United States",1
1992,India,1
1992,"United States, France",1
1992,"United States, United Kingdom",1
1992,Mexico,1
1992,"Australia, United Kingdom",1
1992,Australia,1
1991,"United States",9
1991,,2
1991,"France, Belgium, Italy",1
1991,"United Kingdom",1
1991,"India, Soviet Union",1
1991,"United Kingdom, United States",1
1991,Mexico,1
1991,"United States, Hong Kong",1
1990,"United States",11
1990,India,4
1990,,2
1990,"Australia, United States",1
1990,"United States, Mexico",1
1990,Poland,1
1990,"Hong Kong",1
1989,"United States",8
1989,India,2
1989,"France, Egypt",1
1989,"United Kingdom",1
1989,"Denmark, France, Poland",1
1989,"Ireland, United Kingdom, United States",1
1989,"Hong Kong",1
1989,"United States, Canada",1
1988,"United States",14
1988,India,2
1988,,1
1988,"Hong Kong",1
1987,"United States",7
1987,India,1
1986,"United States",6
1986,India,2
1986,"United Kingdom, United States",1
1986,Japan,1
1986,"Hong Kong, China",1
1986,"United States, United Kingdom",1
1986,"Italy, South Africa, West Germany, Australia, United States",1
1985,Argentina,2
1985,"Hong Kong",2
1985,India,2
1985,,1
1985,"Poland, West Germany",1
1985,"United States, Japan",1
1985,"United States",1
1984,"United States",5
1984,"Hong Kong",3
1984,"Italy, United States",1
1984,,1
1984,India,1
1984,"India, Soviet Union",1
1983,India,4
1983,"Hong Kong",3
1983,"United States",2
1983,,1
1983,Poland,1
1982,India,6
1982,"United States",2
1982,,2
1982,"Hong Kong",2
1982,"France, Lebanon",1
1982,Egypt,1
1982,"United Kingdom",1
1982,"United States, United Kingdom",1
1982,Poland,1
1981,"United States",5
1981,,2
1981,Kuwait,1
1981,Egypt,1
1981,India,1
1981,"Hong Kong",1
1981,Japan,1
1981,Australia,1
1980,"United States",5
1980,India,2
1980,"Hong Kong",2
1980,"Lebanon, Canada, France",1
1980,"Soviet Union, India",1
1979,"United States",2
1979,India,2
1979,"Lebanon, Canada, France",1
1979,"Egypt, Algeria",1
1979,Egypt,1
1979,"United Kingdom",1
1979,Japan,1
1979,Mexico,1
1979,"Australia, United States",1
1978,"United States",3
1978,"Hong Kong",2
1978,India,1
1978,Poland,1
1977,India,2
1977,"United States",2
1977,"West Germany",1
1977,"United States, United Kingdom",1
1977,"United Kingdom",1
1976,"United States",5
1976,Egypt,2
1976,India,2
1975,India,2
1975,"United States",1
1975,Lebanon,1
1975,"United Kingdom",1
1975,"Poland,",1
1975,"Hong Kong",1
1974,"United States",3
1974,India,2
1974,"United Kingdom",1
1974,France,1
1973,"United States",4
1973,India,2
1973,Egypt,1
1973,"Hong Kong, United States",1
1973,Poland,1
1973,"Hong Kong",1
1972,"United States",2
1972,India,2
1972,"United Kingdom, West Germany",1
1971,India,2
1971,"United Kingdom, United States",1
1971,"United States",1
1971,"United States, East Germany, West Germany",1
1970,Egypt,1
1970,Poland,1
1969,India,1
1969,"United States",1
1968,"United Kingdom, United States",1
1968,"Italy, United States",1
1968,"United States",1
1967,"United States",4
1967,Poland,1
1966,India,1
1965,"United States, Italy, United Kingdom, Liechtenstein",1
1965,"United States",1
1964,"United States",1
1964,India,1
1963,Egypt,1
1963,"United States",1
1962,India,1
1962,"United Kingdom, United States",1
1962,"United States",1
1961,"United Kingdom, United States",1
1960,"United States",2
1960,"India, Malaysia",1
1960,,1
1959,India,1
1958,"United States",2
1958,Egypt,1
1956,Egypt,1
1956,"United States",1
1955,"United States",1
1955,"Italy, France",1
1955,Italy,1
1954,"United States",1
1954,Egypt,1
1947,"United States",1
1946,"United States",2
1945,"United States",4
1944,"United States",2
1944,"United States, United Kingdom",1
1943,"United States",3
1942,"United States",2
1925,,1
