release_year,genre,total_titles
2014,"International TV Shows, Reality TV",1
2013,"Children & Family Movies",19
2013,"Comedies, International Movies",14
2013,"Documentaries, International Movies",12
2013,"Dramas, International Movies",10
2013,Documentaries,10
2013,"Stand-Up Comedy",9
2013,"Children & Family Movies, Comedies",8
2013,"Dramas, Independent Movies",6
2013,"Action & Adventure",5
2013,"Anime Series, International TV Shows",4
2013,"Kids' TV",4
2013,"Horror Movies, International Movies",4
2013,"International TV Shows, TV Comedies",3
2013,"International TV Shows, TV Dramas",3
2013,"Horror Movies",2
2013,"Action & Adventure, Dramas",2
2013,"Children & Family Movies, Music & Musicals",2
2013,Dramas,2
2013,"Reality TV",2
2013,"Kids' TV, TV Comedies",2
2013,"Documentaries, Music & Musicals",2
2013,Comedies,2
2013,"Comedies, Horror Movies",2
2013,"Independent Movies, Thrillers",2
2013,"Dramas, Thrillers",2
2013,"Action & Adventure, International Movies",2
2013,"Horror Movies, Sci-Fi & Fantasy",1
2013,Thrillers,1
2013,"Kids' TV, Korean TV Shows",1
2013,"Comedies, Independent Movies",1
2013,"Dramas, Romantic Movies",1
2013,"Horror Movies, Thrillers",1
2013,"Music & Musicals",1
2013,"Children & Family Movies, Sports Movies",1
2013,"Documentaries, LGBTQ Movies",1
2013,"Horror Movies, Independent Movies",1
2013,"TV Dramas",1
2013,"Crime TV Shows, Docuseries",1
2013,"Reality TV, Science & Nature TV",1
2013,"International Movies, Sci-Fi & Fantasy",1
2013,"International Movies, Thrillers",1
2013,"Action & Adventure, Sci-Fi & Fantasy",1
2013,"British TV Shows, Docuseries",1
2013,Docuseries,1
2013,"International Movies, Romantic Movies",1
2013,"Docuseries, Stand-Up Comedy & Talk Shows",1
2013,"Comedies, Dramas",1
2013,"TV Action & Adventure, TV Dramas",1
2013,"Dramas, Faith & Spirituality",1
2013,"Anime Series",1
2013,"TV Comedies",1
2012,"Stand-Up Comedy",12
2012,"Children & Family Movies",9
2012,"Dramas, International Movies",9
2012,"Action & Adventure",7
2012,"Kids' TV",7
2012,"Children & Family Movies, Comedies",7
2012,"Comedies, International Movies",6
2012,"International TV Shows, TV Dramas",6
2012,Dramas,5
2012,"Action & Adventure, International Movies",4
2012,"Dramas, Independent Movies",4
2012,"Documentaries, International Movies",4
2012,"Kids' TV, TV Comedies",4
2012,Comedies,4
2012,Movies,3
2012,"TV Comedies",3
2012,"Reality TV",3
2012,Documentaries,3
2012,"Horror Movies, Thrillers",3
2012,"TV Comedies, TV Dramas",2
2012,"Anime Series, International TV Shows",2
2012,"Documentaries, Music & Musicals",2
2012,"British TV Shows, TV Comedies",2
2012,"Comedies, Romantic Movies",2
2012,"Action & Adventure, Dramas",1
2012,"Dramas, Romantic Movies",1
2012,"Dramas, Thrillers",1
2012,"International Movies, Thrillers",1
2012,"British TV Shows, Reality TV",1
2012,"Comedies, Music & Musicals",1
2012,"Children & Family Movies, Dramas",1
2012,"Comedies, Independent Movies",1
2012,"Action & Adventure, Horror Movies",1
2012,"Anime Series, Kids' TV",1
2012,"Docuseries, International TV Shows",1
2012,"British TV Shows, Docuseries",1
2012,"Documentaries, Sports Movies",1
2012,"TV Dramas, Teen TV Shows",1
2012,"Action & Adventure, Sci-Fi & Fantasy",1
2012,"Children & Family Movies, Sci-Fi & Fantasy",1
2012,"Children & Family Movies, Independent Movies",1
2012,"Horror Movies",1
2012,"Comedies, Dramas",1
2011,"Children & Family Movies, Comedies",10
2011,"Children & Family Movies",9
2011,"Dramas, International Movies",9
2011,"Kids' TV",6
2011,Movies,6
2011,"Comedies, Romantic Movies",5
2011,"Stand-Up Comedy",5
2011,Documentaries,5
2011,"Action & Adventure, Sci-Fi & Fantasy",4
2011,"Horror Movies, International Movies",4
2011,"Dramas, Romantic Movies",4
2011,"Anime Series, International TV Shows",4
2011,"Kids' TV, TV Comedies",3
2011,"International TV Shows, TV Dramas",3
2011,"Dramas, Thrillers",2
2011,Comedies,2
2011,"Children & Family Movies, Dramas",2
2011,"International Movies, Thrillers",2
2011,"Action & Adventure, Comedies",2
2011,"Action & Adventure",2
2011,Dramas,2
2011,"Cult Movies, Horror Movies",1
2011,"Action & Adventure, Thrillers",1
2011,"Reality TV",1
2011,"Anime Features, Music & Musicals",1
2011,"Music & Musicals, Stand-Up Comedy",1
2011,"Action & Adventure, International Movies",1
2011,"Documentaries, Sports Movies",1
2011,"Comedies, Sports Movies",1
2011,"Documentaries, Music & Musicals",1
2011,"Anime Series, Crime TV Shows",1
2011,"Crime TV Shows, Docuseries",1
2011,"Comedies, International Movies",1
2011,"Horror Movies",1
2011,"British TV Shows, Docuseries",1
2011,"International TV Shows, TV Comedies",1
2011,Thrillers,1
2011,"Comedies, Dramas",1
2010,"Dramas, International Movies",17
2010,"Children & Family Movies",7
2010,"Kids' TV",6
2010,"Action & Adventure, International Movies",6
2010,"Children & Family Movies, Comedies",6
2010,"Dramas, Romantic Movies",5
2010,"International TV Shows, TV Dramas",5
2010,"Action & Adventure",4
2010,"Comedies, Romantic Movies",4
2010,"Comedies, International Movies",4
2010,"Action & Adventure, Sci-Fi & Fantasy",4
2010,Comedies,3
2010,"Anime Series, International TV Shows",3
2010,Documentaries,3
2010,"Stand-Up Comedy",3
2010,"Documentaries, International Movies",3
2010,"Dramas, Thrillers",2
2010,"British TV Shows, Kids' TV",2
2010,"Action & Adventure, Comedies",2
2010,"Horror Movies, Thrillers",2
2010,Movies,2
2010,Dramas,2
2010,"Dramas, Independent Movies",2
2010,"TV Dramas, Teen TV Shows",1
2010,"Children & Family Movies, Sports Movies",1
2010,"Action & Adventure, Romantic Movies",1
2010,Thrillers,1
2010,"Reality TV, Romantic TV Shows",1
2010,"International Movies, Romantic Movies",1
2010,"Anime Series, Teen TV Shows",1
2010,"Anime Series, Romantic TV Shows",1
2010,"Documentaries, Music & Musicals",1
2010,Docuseries,1
2010,"Horror Movies",1
2010,"International TV Shows, TV Comedies",1
2010,"Reality TV",1
2010,"Horror Movies, International Movies",1
2010,"Dramas, Sports Movies",1
2010,"British TV Shows, TV Comedies",1
2010,"TV Dramas",1
2010,"Crime TV Shows, Docuseries",1
2009,"Dramas, International Movies",8
2009,"Children & Family Movies",6
2009,"Action & Adventure, Sci-Fi & Fantasy",5
2009,"International TV Shows, TV Dramas",5
2009,"Comedies, International Movies",4
2009,"Children & Family Movies, Comedies",4
2009,Comedies,4
2009,"Action & Adventure",3
2009,"Horror Movies",3
2009,"Dramas, Romantic Movies",2
2009,"Dramas, Thrillers",2
2009,"Horror Movies, Thrillers",2
2009,"Stand-Up Comedy",2
2009,"International Movies, Thrillers",2
2009,"Horror Movies, International Movies",2
2009,"Anime Series, International TV Shows",2
2009,"Comedies, Dramas",2
2009,"Sci-Fi & Fantasy, Thrillers",2
2009,Dramas,2
2009,"Action & Adventure, Comedies",2
2009,"Comedies, Romantic Movies",2
2009,"Docuseries, Science & Nature TV",2
2009,"International TV Shows, Reality TV",1
2009,"Children & Family Movies, Dramas",1
2009,Documentaries,1
2009,Thrillers,1
2009,"Kids' TV, TV Dramas",1
2009,"Action & Adventure, International Movies",1
2009,Docuseries,1
2009,"Kids' TV, TV Comedies",1
2009,"British TV Shows, Docuseries",1
2009,"Comedies, Cult Movies",1
2009,"Docuseries, International TV Shows",1
2009,"Comedies, Independent Movies",1
2009,"Anime Series, Kids' TV",1
2009,"Independent Movies, Thrillers",1
2009,"Dramas, Sports Movies",1
2009,"Documentaries, International Movies",1
2009,"Kids' TV",1
2009,"Reality TV, Romantic TV Shows",1
2009,"Romantic TV Shows, TV Dramas",1
2009,"Documentaries, Music & Musicals",1
2009,"Comedies, Horror Movies",1
2008,"Dramas, International Movies",9
2008,"Children & Family Movies, Comedies",8
2008,"Comedies, International Movies",6
2008,Comedies,4
2008,"Action & Adventure, Comedies",3
2008,"Dramas, Romantic Movies",3
2008,"Comedies, Romantic Movies",3
2008,"Stand-Up Comedy",3
2008,Documentaries,3
2008,Dramas,3
2008,"Action & Adventure",3
2008,"Dramas, Independent Movies",3
2008,"Horror Movies, Thrillers",2
2008,"Action & Adventure, Dramas",2
2008,"Anime Series, International TV Shows",2
2008,"Children & Family Movies",2
2008,"Comedies, Cult Movies",2
2008,"Kids' TV",2
2008,"Dramas, Thrillers",2
2008,"Documentaries, Music & Musicals",1
2008,"Kids' TV, TV Comedies",1
2008,"International Movies, Romantic Movies",1
2008,"Horror Movies",1
2008,"Anime Series, Teen TV Shows",1
2008,"Music & Musicals, Stand-Up Comedy",1
2008,"International Movies, Thrillers",1
2008,"Anime Series, Kids' TV",1
2008,Movies,1
2008,"Dramas, Faith & Spirituality",1
2008,"International TV Shows, TV Dramas",1
2008,"Anime Series, Crime TV Shows",1
2008,"International TV Shows, Stand-Up Comedy & Talk Shows",1
2008,"Action & Adventure, Sci-Fi & Fantasy",1
2008,"Crime TV Shows, Docuseries",1
2008,"Comedies, Sports Movies",1
2008,"Documentaries, Sports Movies",1
2007,"Children & Family Movies, Comedies",5
2007,"Action & Adventure, Sci-Fi & Fantasy",4
2007,"Comedies, Romantic Movies",3
2007,"Kids' TV",3
2007,"Dramas, International Movies",3
2007,"Action & Adventure, Comedies",3
2007,"TV Comedies",2
2007,"Comedies, International Movies",2
2007,"Dramas, Independent Movies",2
2007,"Documentaries, International Movies",2
2007,"Action & Adventure, International Movies",2
2007,"Dramas, Romantic Movies",2
2007,"Dramas, Thrillers",2
2007,Dramas,1
2007,Documentaries,1
2007,"Stand-Up Comedy",1
2007,"International TV Shows, TV Dramas",1
2007,"Anime Series, International TV Shows",1
2007,"Documentaries, Music & Musicals",1
2007,"Stand-Up Comedy & Talk Shows",1
2007,"Comedies, Sports Movies",1
2007,"Crime TV Shows, TV Dramas",1
2007,Comedies,1
2007,"Horror Movies, Thrillers",1
2007,Thrillers,1
2007,"Comedies, Cult Movies",1
2007,"Comedies, Dramas",1
2007,Docuseries,1
2007,"Children & Family Movies",1
2007,"Horror Movies, International Movies",1
2007,"Action & Adventure",1
2006,"Children & Family Movies, Comedies",5
2006,"Comedies, International Movies",5
2006,"Stand-Up Comedy",4
2006,"Action & Adventure, Dramas",3
2006,"Dramas, International Movies",3
2006,"Dramas, Thrillers",2
2006,"Anime Series, International TV Shows",2
2006,"Action & Adventure, International Movies",2
2006,"Dramas, Independent Movies",2
2006,"Action & Adventure",2
2006,"Horror Movies",2
2006,"Comedies, Romantic Movies",2
2006,"Horror Movies, International Movies",2
2006,"Horror Movies, Thrillers",1
2006,Comedies,1
2006,Thrillers,1
2006,"TV Shows",1
2006,"TV Comedies, Teen TV Shows",1
2006,Documentaries,1
2006,"Comedies, Cult Movies",1
2006,"Documentaries, Faith & Spirituality",1
2006,"Comedies, Sci-Fi & Fantasy",1
2006,"International Movies, Sci-Fi & Fantasy",1
2006,"British TV Shows, TV Comedies",1
2006,"Sci-Fi & Fantasy, Thrillers",1
2006,"Comedies, Sports Movies",1
2006,"Kids' TV",1
2006,"Documentaries, International Movies",1
2006,"Action & Adventure, Sci-Fi & Fantasy",1
2006,Dramas,1
2005,"Dramas, International Movies",6
2005,"Comedies, Romantic Movies",5
2005,"TV Comedies",3
2005,"Children & Family Movies, Comedies",3
2005,Dramas,2
2005,"Kids' TV, TV Comedies",2
2005,"Documentaries, Music & Musicals",2
2005,"Action & Adventure, Sci-Fi & Fantasy",2
2005,"Action & Adventure, Comedies",2
2005,"Children & Family Movies",2
2005,"Action & Adventure, International Movies",1
2005,"Dramas, Romantic Movies",1
2005,Documentaries,1
2005,Thrillers,1
2005,Comedies,1
2005,"Anime Series, Kids' TV",1
2005,"Children & Family Movies, Sci-Fi & Fantasy",1
2005,"British TV Shows, TV Comedies",1
2005,Movies,1
2005,"International TV Shows, TV Dramas",1
2005,"Stand-Up Comedy",1
2005,"Independent Movies, Thrillers",1
2005,"Dramas, Sports Movies",1
2005,"Documentaries, Sports Movies",1
2005,"Documentaries, International Movies",1
2005,"Comedies, International Movies",1
2005,"Kids' TV",1
2005,"Horror Movies",1
2005,"Action & Adventure, Dramas",1
2005,"TV Dramas",1
2005,"Comedies, Independent Movies",1
2005,"Action & Adventure",1
2004,"Dramas, International Movies",6
2004,"Children & Family Movies, Comedies",3
2004,"Children & Family Movies",3
2004,"Comedies, Romantic Movies",3
2004,"Action & Adventure, Comedies",2
2004,"Kids' TV",2
2004,"Dramas, Sports Movies",1
2004,"Documentaries, International Movies",1
2004,"Comedies, International Movies",1
2004,"International TV Shows, Romantic TV Shows",1
2004,"International TV Shows, TV Comedies",1
2004,Movies,1
2004,"Children & Family Movies, Dramas",1
2004,"Dramas, Independent Movies",1
2004,"Comedies, Cult Movies",1
2004,"Action & Adventure",1
2004,"International Movies, Romantic Movies",1
2004,"Action & Adventure, Children & Family Movies",1
2004,"Horror Movies, International Movies",1
2003,"Children & Family Movies, Comedies",5
2003,"Action & Adventure, Sci-Fi & Fantasy",4
2003,"Comedies, Romantic Movies",3
2003,"Action & Adventure",3
2003,Dramas,2
2003,Comedies,2
2003,"Action & Adventure, Comedies",2
2003,"Horror Movies, Thrillers",2
2003,"Classic & Cult TV, TV Comedies",2
2003,Thrillers,1
2003,"Dramas, Romantic Movies",1
2003,"Comedies, Music & Musicals",1
2003,"Action & Adventure, Dramas",1
2003,"Dramas, Sports Movies",1
2003,"Dramas, Thrillers",1
2003,"Anime Series, Kids' TV",1
2003,"Dramas, International Movies",1
2003,"TV Comedies",1
2003,"International TV Shows, Romantic TV Shows",1
2003,"International TV Shows, TV Comedies",1
2003,"Anime Series, International TV Shows",1
2003,"Children & Family Movies",1
2003,"Kids' TV",1
2002,"Dramas, International Movies",4
2002,"Children & Family Movies, Comedies",3
2002,Dramas,2
2002,"Action & Adventure, Comedies",2
2002,"Action & Adventure",2
2002,"Comedies, Romantic Movies",2
2002,"Action & Adventure, Dramas",2
2002,"Action & Adventure, Sci-Fi & Fantasy",2
2002,"International TV Shows, TV Comedies",1
2002,"Anime Series",1
2002,Documentaries,1
2002,"Dramas, Romantic Movies",1
2002,"Documentaries, Music & Musicals",1
2002,"International Movies, Thrillers",1
2002,"Stand-Up Comedy",1
2002,Thrillers,1
2002,"Kids' TV",1
2002,"Horror Movies, Thrillers",1
2002,"Action & Adventure, Sports Movies",1
2001,"Action & Adventure",3
2001,"Comedies, Romantic Movies",3
2001,"Dramas, Thrillers",2
2001,"Action & Adventure, Comedies",2
2001,Thrillers,2
2001,Dramas,2
2001,"Children & Family Movies, Comedies",2
2001,Comedies,1
2001,"Dramas, International Movies",1
2001,"Stand-Up Comedy",1
2001,"Anime Series, International TV Shows",1
2001,"British TV Shows, Docuseries",1
2001,"Dramas, Romantic Movies",1
2001,"Children & Family Movies",1
2001,"Action & Adventure, Dramas",1
2001,"Comedies, Sci-Fi & Fantasy",1
2001,"Comedies, Cult Movies",1
2001,"Kids' TV",1
2000,"Children & Family Movies, Comedies",3
2000,"Action & Adventure, Comedies",2
2000,"Comedies, Romantic Movies",1
2000,"Stand-Up Comedy",1
2000,"TV Comedies, Teen TV Shows",1
2000,"Comedies, Documentaries",1
2000,"Anime Series, Kids' TV",1
2000,"TV Action & Adventure, TV Sci-Fi & Fantasy",1
2000,"Comedies, Dramas",1
2000,"Children & Family Movies",1
2000,Dramas,1
2000,"Action & Adventure, Sci-Fi & Fantasy",1
2000,Comedies,1
2000,"Kids' TV",1
2000,"Comedies, Horror Movies",1
2000,"Horror Movies",1
2000,"Action & Adventure",1
2000,"Horror Movies, Thrillers",1
1999,Thrillers,2
1999,"Action & Adventure, Comedies",2
1999,"Dramas, International Movies",2
1999,"Action & Adventure",2
1999,"Children & Family Movies",2
1999,Comedies,2
1999,"Dramas, Independent Movies",1
1999,"Comedies, International Movies",1
1999,"Children & Family Movies, Comedies",1
1999,"Anime Series, International TV Shows",1
1999,"TV Action & Adventure, TV Sci-Fi & Fantasy",1
1999,Dramas,1
1999,"British TV Shows, TV Comedies",1
1999,"Crime TV Shows, Docuseries",1
1999,"TV Comedies, TV Sci-Fi & Fantasy",1
1999,"Kids' TV",1
1999,"Comedies, Romantic Movies",1
1999,"Action & Adventure, Sci-Fi & Fantasy",1
1999,"Dramas, Thrillers",1
1998,"Dramas, International Movies",2
1998,Dramas,2
1998,"Comedies, Sports Movies",2
1998,"Action & Adventure, Comedies",1
1998,Documentaries,1
1998,"TV Comedies, Teen TV Shows",1
1998,"Children & Family Movies, Comedies",1
1998,"Comedies, Documentaries",1
1998,Comedies,1
1998,"Stand-Up Comedy",1
1998,"Kids' TV, TV Thrillers",1
1998,"Comedies, Cult Movies",1
1998,"Comedies, Romantic Movies",1
1998,Thrillers,1
1998,"Documentaries, Music & Musicals",1
1998,"Kids' TV",1
1998,"Anime Series, International TV Shows",1
1998,"Children & Family Movies",1
1998,"Action & Adventure, Romantic Movies",1
1997,"Action & Adventure",4
1997,"Dramas, Thrillers",3
1997,Comedies,2
1997,Thrillers,2
1997,"Comedies, Romantic Movies",2
1997,"Kids' TV",2
1997,"Action & Adventure, Comedies",2
1997,"Kids' TV, TV Comedies",2
1997,"Action & Adventure, International Movies",2
1997,"Dramas, Romantic Movies",1
1997,"Children & Family Movies, Comedies",1
1997,"Dramas, International Movies",1
1997,Dramas,1
1997,"Comedies, International Movies",1
1997,"Horror Movies, Sci-Fi & Fantasy",1
1997,"Horror Movies",1
1996,"Comedies, International Movies",2
1996,"Comedies, Romantic Movies",2
1996,"Action & Adventure",2
1996,"Kids' TV",2
1996,"Comedies, Cult Movies",1
1996,"Action & Adventure, Sci-Fi & Fantasy",1
1996,Docuseries,1
1996,"Dramas, Thrillers",1
1996,"Dramas, Independent Movies",1
1996,"Comedies, Dramas",1
1996,"Horror Movies, Thrillers",1
1996,Comedies,1
1996,Thrillers,1
1995,"Children & Family Movies, Dramas",2
1995,Comedies,1
1995,Thrillers,1
1995,"Action & Adventure, Thrillers",1
1995,"Action & Adventure, Sci-Fi & Fantasy",1
1995,"Anime Series, International TV Shows",1
1995,"Action & Adventure, Comedies",1
1995,"Action & Adventure",1
1995,"Dramas, Romantic Movies",1
1995,"Children & Family Movies, Comedies",1
1995,"Dramas, International Movies",1
1995,Dramas,1
1995,"Kids' TV",1
1994,"Dramas, International Movies",2
1994,Documentaries,2
1994,"Action & Adventure",2
1994,"Kids' TV, TV Comedies",1
1994,"Action & Adventure, Dramas",1
1994,"Comedies, Music & Musicals",1
1994,"Action & Adventure, Sci-Fi & Fantasy",1
1994,"TV Shows",1
1994,"Children & Family Movies, Comedies",1
1993,"Children & Family Movies, Comedies",2
1993,"Action & Adventure",1
1993,"Action & Adventure, Classic Movies",1
1993,"Kids' TV",1
1993,"Reality TV",1
1993,"Stand-Up Comedy",1
1993,"TV Action & Adventure, TV Sci-Fi & Fantasy",1
1993,"Dramas, Romantic Movies",1
1993,Dramas,1
1993,"Children & Family Movies, Dramas",1
1993,"Classic Movies, Dramas",1
1993,Thrillers,1
1993,"TV Dramas",1
1993,"Action & Adventure, International Movies",1
1993,"Dramas, Thrillers",1
1992,"Action & Adventure",3
1992,"Stand-Up Comedy",2
1992,"TV Comedies",1
1992,"Children & Family Movies, Comedies",1
1992,"Horror Movies",1
1992,Dramas,1
1992,"Classic Movies, Thrillers",1
1992,Comedies,1
1992,"Cult Movies, Horror Movies",1
1992,"Classic & Cult TV, TV Comedies",1
1992,"Classic Movies, Dramas",1
1991,"Stand-Up Comedy",4
1991,Dramas,1
1991,"Action & Adventure, Comedies",1
1991,"Dramas, Sports Movies",1
1991,"Dramas, Thrillers",1
1991,"Children & Family Movies",1
1991,"TV Shows",1
1991,"Children & Family Movies, Comedies",1
1991,Comedies,1
1990,Dramas,2
1990,"Comedies, Cult Movies",1
1990,"Action & Adventure",1
1990,"Action & Adventure, Sci-Fi & Fantasy",1
1990,"Dramas, International Movies",1
1990,"Stand-Up Comedy",1
1990,"Classic Movies, Dramas",1
1990,Docuseries,1
1990,"Documentaries, Music & Musicals",1
1990,"Dramas, Sports Movies",1
1990,"Action & Adventure, Comedies",1
1989,Dramas,2
1989,"Children & Family Movies, Dramas",1
1989,"Action & Adventure, Sports Movies",1
1989,"Children & Family Movies, Comedies",1
1989,"Stand-Up Comedy",1
1989,Comedies,1
1989,"Dramas, International Movies",1
1989,"Children & Family Movies",1
1989,"Kids' TV",1
1988,Dramas,2
1988,"Classic Movies, Dramas",1
1988,"Action & Adventure, International Movies",1
1988,"Docuseries, Reality TV",1
1988,"Dramas, Sports Movies",1
1988,"Cult Movies, Horror Movies",1
1988,"TV Dramas",1
1988,"Dramas, International Movies",1
1988,Movies,1
1988,"Comedies, Dramas",1
1988,"Comedies, Cult Movies",1
1988,"Documentaries, Music & Musicals",1
1987,"Stand-Up Comedy",2
1987,Dramas,1
1987,"Action & Adventure, Dramas",1
1987,"Cult Movies, Horror Movies",1
1986,"Action & Adventure, International Movies",2
1986,Dramas,2
1986,"Action & Adventure, Comedies",1
1986,"Anime Series",1
1986,"Children & Family Movies",1
1986,"TV Dramas",1
1985,"Comedies, International Movies",1
1985,"Action & Adventure, International Movies",1
1985,"Anime Series",1
1985,"Dramas, Sports Movies",1
1984,"Classic Movies, Dramas",1
1984,"Action & Adventure, International Movies",1
1984,"Action & Adventure, Cult Movies",1
1983,"Comedies, Cult Movies",1
1983,"Stand-Up Comedy",1
1983,"Action & Adventure, International Movies",1
1983,"Dramas, International Movies",1
1982,Comedies,1
1982,"Action & Adventure, International Movies",1
1982,"Dramas, Sports Movies",1
1982,"Children & Family Movies",1
1982,"Dramas, International Movies",1
1981,"Comedies, Romantic Movies",1
1981,"Comedies, International Movies",1
1981,"Anime Series, Kids' TV",1
1981,"Classic Movies, Dramas",1
1980,"Dramas, Romantic Movies",1
1980,"Action & Adventure",1
1980,"Documentaries, International Movies",1
1980,Dramas,1
1980,"Action & Adventure, International Movies",1
1979,"Documentaries, International Movies",1
1979,"Stand-Up Comedy",1
1979,"Dramas, Sports Movies",1
1978,"Children & Family Movies",1
1978,"Action & Adventure, International Movies",1
1977,"Documentaries, International Movies",1
1977,"Children & Family Movies",1
1977,"Cult Movies, Horror Movies",1
1976,"Dramas, International Movies",1
1976,"Action & Adventure, Classic Movies",1
1976,"Comedies, International Movies",1
1976,"Dramas, Music & Musicals",1
1973,"Action & Adventure, International Movies",2
1973,"Action & Adventure, Classic Movies",2
1973,"Children & Family Movies, Classic Movies",1
1973,"Documentaries, Music & Musicals",1
1972,Documentaries,1
1972,"International TV Shows, TV Comedies",1
1972,"International Movies, Romantic Movies",1
1969,"Classic Movies, Dramas",1
1967,"Classic Movies, Dramas",1
1967,"Classic & Cult TV, TV Comedies",1
1965,"Classic Movies, Dramas",1
1964,"Classic Movies, Music & Musicals",1
1963,"Classic & Cult TV, TV Sci-Fi & Fantasy",1
1961,"Action & Adventure, Classic Movies",1
1959,"Dramas, International Movies",1
1958,"Classic Movies, Dramas",1
1955,"Classic Movies, Dramas",1
1947,"Classic Movies, Documentaries",1
1946,"Classic Movies, Documentaries",1
1946,"TV Shows",1
1945,"Classic Movies, Documentaries",3
1945,"TV Shows",1
1944,"Classic Movies, Documentaries",3
1943,Documentaries,2
1943,"Classic Movies, Documentaries",1
1942,"Classic Movies, Documentaries",2
1925,"TV Shows",1
